,precision,recall,f1-score,support
account_security,0.5,1.0,0.6666666666666666,1.0
delivery_problem,0.6666666666666666,0.5365853658536586,0.5945945945945946,41.0
delivery_status,0.5882352941176471,0.47619047619047616,0.5263157894736842,21.0
digital_product_support,0.8181818181818182,0.5294117647058824,0.6428571428571429,17.0
order_issue,0.47619047619047616,0.7142857142857143,0.5714285714285714,14.0
payment_billing,0.5,1.0,0.6666666666666666,1.0
preorder_issue,0.5,1.0,0.6666666666666666,1.0
prime_membership,0.5555555555555556,0.29411764705882354,0.38461538461538464,17.0
refund_issue,0.3684210526315789,0.7777777777777778,0.5,9.0
returns_replacements,0.5555555555555556,0.6666666666666666,0.6060606060606061,30.0
accuracy,0.5657894736842105,0.5657894736842105,0.5657894736842105,0.5657894736842105
macro avg,0.5528806418899298,0.6995035412539,0.5825872089029984,152.0
weighted avg,0.5999271886207685,0.5657894736842105,0.5630254020143217,152.0
